test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.8172514619883041,0.8395378690629012,0.993920972644377,0.7266666666666667,0.8786894586894586,"[[232   2]
 [123 327]]",0
p2,0.7384155455904334,0.7559274755927476,0.9818840579710145,0.6145124716553289,0.803337709352747,"[[223   5]
 [170 271]]",0
p3,0.6465798045602605,0.6186291739894552,0.9943502824858758,0.4489795918367347,0.7222720169148741,"[[221   1]
 [216 176]]",0
p4,0.6952998379254457,0.7177177177177178,0.9715447154471545,0.569047619047619,0.7682680686487793,"[[190   7]
 [181 239]]",0
p5,0.8720379146919431,0.9128094725511303,0.8412698412698413,0.9976470588235294,0.8065101809954751,"[[128  80]
 [  1 424]]",0
p6,0.8513302034428795,0.8959474260679079,0.8538622129436325,0.9423963133640553,0.8005282679554906,"[[135  70]
 [ 25 409]]",0
p7,0.7811594202898551,0.8494516450648056,0.7802197802197802,0.9321663019693655,0.7512373099426188,"[[113 120]
 [ 31 426]]",0
p8,0.8190184049079755,0.8803245436105478,0.7948717948717948,0.9863636363636363,0.7310463121783877,"[[100 112]
 [  6 434]]",0
p9,0.8140243902439024,0.877016129032258,0.7837837837837838,0.9954233409610984,0.7305100153600201,"[[ 99 120]
 [  2 435]]",0
p10,0.7726550079491256,0.8499475341028331,0.7431192660550459,0.9926470588235294,0.69927801437317,"[[ 81 140]
 [  3 405]]",0
p11,0.9782270606531882,0.9838709677419354,0.9816091954022989,0.9861431870669746,0.9782360057186846,"[[202   8]
 [  6 427]]",0
p12,0.8668730650154799,0.8997668997668997,0.9125295508274232,0.8873563218390804,0.8776978809173612,"[[174  37]
 [ 49 386]]",0
p13,0.9813664596273292,0.988593155893536,1.0,0.9774436090225563,0.9885875402792696,"[[ 84   0]
 [  9 390]]",0
p14,0.9589257503949447,0.9703196347031964,0.9659090909090909,0.9747706422018348,0.9673485307129883,"[[182  15]
 [ 11 425]]",0
p15,0.9007751937984496,0.9238095238095237,0.97,0.8818181818181818,0.9239024390243903,"[[193  12]
 [ 52 388]]",0
p16,0.9099378881987578,0.9355555555555555,0.9014989293361885,0.9722863741339491,0.9243238510118975,"[[165  46]
 [ 12 421]]",0
p17,0.6933534743202417,0.7967967967967968,0.7145421903052065,0.9004524886877828,0.5934234882764295,"[[ 61 159]
 [ 44 398]]",0
p18,0.6224961479198767,0.7001223990208078,0.7333333333333333,0.6697892271662763,0.596778277106146,"[[118 104]
 [141 286]]",0
p19,0.7861538461538462,0.8633235004916421,0.7621527777777778,0.9954648526077098,0.6811238051839557,"[[ 72 137]
 [  2 439]]",0
