test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.9839181286549707,0.9876819708846584,0.9954853273137697,0.98,0.9995536562203229,"[[232   2]
 [  9 441]]",0
p2,0.9521674140508222,0.9627906976744187,0.9880668257756563,0.9387755102040817,0.997374388351832,"[[223   5]
 [ 27 414]]",0
p3,0.6270358306188925,0.5873873873873874,1.0,0.41581632653061223,0.9344548630262917,"[[222   0]
 [229 163]]",0
p4,0.8038897893030794,0.8340192043895747,0.9838187702265372,0.7238095238095238,0.977133188300701,"[[192   5]
 [116 304]]",0
p5,0.9273301737756714,0.9485458612975392,0.9040511727078892,0.9976470588235294,0.9988235294117647,"[[163  45]
 [  1 424]]",0
p6,0.9968701095461658,0.9977011494252873,0.9954128440366973,1.0,0.9999887602562662,"[[203   2]
 [  0 434]]",0
p7,0.9130434782608695,0.9383983572895277,0.8839458413926499,1.0,0.990101520459049,"[[173  60]
 [  0 457]]",0
p8,0.9555214723926381,0.968096809680968,0.9381663113006397,1.0,0.9931389365351629,"[[183  29]
 [  0 440]]",0
p9,0.7195121951219512,0.8260869565217391,0.7037037037037037,1.0,0.9633135847361107,"[[ 35 184]
 [  0 437]]",0
p10,0.7567567567567568,0.8421052631578948,0.7272727272727273,1.0,0.9499822553455771,"[[ 68 153]
 [  0 408]]",0
p11,0.9860031104199067,0.9897142857142857,0.9796380090497737,1.0,0.9994061365885847,"[[201   9]
 [  0 433]]",0
p12,0.9318885448916409,0.9516483516483516,0.911578947368421,0.9954022988505747,0.9901400010895026,"[[169  42]
 [  2 433]]",0
p13,0.9937888198757764,0.9962358845671268,0.9974874371859297,0.9949874686716792,0.9997613080319847,"[[ 83   1]
 [  2 397]]",0
p14,0.9842022116903634,0.9886621315192743,0.9775784753363229,1.0,0.9979742001583384,"[[187  10]
 [  0 436]]",0
p15,0.9829457364341085,0.9875706214689265,0.9820224719101124,0.9931818181818182,0.9994013303769401,"[[197   8]
 [  3 437]]",0
p16,0.8975155279503105,0.9291845493562231,0.8677354709418837,1.0,0.9969571927366658,"[[145  66]
 [  0 433]]",0
p17,0.9924471299093656,0.9943502824858758,0.9932279909706546,0.995475113122172,0.9994343891402715,"[[217   3]
 [  2 440]]",0
p18,0.9506933744221879,0.9638009049773757,0.9321663019693655,0.9976580796252927,0.9957381268856679,"[[191  31]
 [  1 426]]",0
p19,0.9723076923076923,0.98,0.9607843137254902,1.0,0.9990018335882997,"[[191  18]
 [  0 441]]",0
p20,0.7009735744089013,0.8092280390417036,0.6836581709145427,0.991304347826087,0.9788232331710593,"[[ 48 211]
 [  4 456]]",0
