test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.881578947368421,0.9027611044417767,0.9817232375979112,0.8355555555555556,0.9739316239316239,"[[227   7]
 [ 74 376]]",0
p2,0.9192825112107623,0.9394618834080719,0.9290465631929047,0.9501133786848073,0.9537534311970401,"[[196  32]
 [ 22 419]]",0
p3,0.749185667752443,0.7694610778443115,0.9311594202898551,0.6556122448979592,0.8630148005148005,"[[203  19]
 [135 257]]",0
p4,0.833063209076175,0.8667529107373868,0.9490084985835694,0.7976190476190477,0.9453347836596568,"[[179  18]
 [ 85 335]]",0
p5,0.9257503949447078,0.9450292397660819,0.9395348837209302,0.9505882352941176,0.9810407239819005,"[[182  26]
 [ 21 404]]",0
p6,0.9640062597809077,0.9733487833140209,0.9790209790209791,0.967741935483871,0.9937507024839835,"[[196   9]
 [ 14 420]]",0
p7,0.836231884057971,0.887785501489573,0.8127272727272727,0.9781181619256017,0.9569829359228406,"[[130 103]
 [ 10 447]]",0
p8,0.838957055214724,0.8839779005524862,0.8602150537634409,0.9090909090909091,0.9185141509433963,"[[147  65]
 [ 40 400]]",0
p9,0.8704268292682927,0.9094781682641108,0.850597609561753,0.977116704805492,0.9660407719716205,"[[144  75]
 [ 10 427]]",0
p10,0.8028616852146264,0.8660907127429806,0.7741312741312741,0.9828431372549019,0.9072730902315678,"[[104 117]
 [  7 401]]",0
p11,0.864696734059098,0.8963051251489869,0.9261083743842364,0.8683602771362586,0.9387220939183988,"[[180  30]
 [ 57 376]]",0
p12,0.8452012383900929,0.8933901918976547,0.8330019880715706,0.9632183908045977,0.9353598082475351,"[[127  84]
 [ 16 419]]",0
p13,0.8923395445134575,0.9315789473684211,0.9806094182825484,0.8872180451127819,0.9766976966225086,"[[ 77   7]
 [ 45 354]]",0
p14,0.9304897314375987,0.950561797752809,0.9317180616740088,0.9701834862385321,0.9870535090578867,"[[166  31]
 [ 13 423]]",0
p15,0.8868217054263566,0.9106487148102816,0.986737400530504,0.8454545454545455,0.9762084257206208,"[[200   5]
 [ 68 372]]",0
p16,0.8788819875776398,0.915766738660907,0.8600405679513184,0.9792147806004619,0.9436423935291091,"[[142  69]
 [  9 424]]",0
p17,0.9033232628398792,0.9257540603248259,0.95,0.9027149321266968,0.9646441793500616,"[[199  21]
 [ 43 399]]",0
p18,0.9029275808936826,0.926487747957993,0.9232558139534883,0.9297423887587822,0.9563896449142351,"[[189  33]
 [ 30 397]]",0
p19,0.8630769230769231,0.8994350282485876,0.8963963963963963,0.9024943310657596,0.9200490403497922,"[[163  46]
 [ 43 398]]",0
p20,0.8762169680111266,0.9081527347781219,0.8644400785854617,0.9565217391304348,0.9518969279838845,"[[190  69]
 [ 20 440]]",0
p21,0.9236417033773862,0.9449152542372882,0.8991935483870968,0.9955357142857143,0.9880537247087676,"[[183  50]
 [  2 446]]",0
p22,0.8363636363636363,0.8785046728971961,0.8794178794178794,0.8775933609958506,0.9013409791106441,"[[175  58]
 [ 59 423]]",0
p23,0.9507523939808481,0.9639278557114228,0.9303675048355899,1.0,0.9920083160083161,"[[214  36]
 [  0 481]]",0
p24,0.8974358974358975,0.9247524752475249,0.9103313840155945,0.9396378269617707,0.9696539895108355,"[[198  46]
 [ 30 467]]",0
p25,0.6937931034482758,0.7873563218390804,0.7147826086956521,0.8763326226012793,0.7487548307569297,"[[ 92 164]
 [ 58 411]]",0
p26,0.6813031161473088,0.7734138972809667,0.7272727272727273,0.8258064516129032,0.6932940704055681,"[[ 97 144]
 [ 81 384]]",0
p27,0.6094594594594595,0.6792452830188679,0.7268408551068883,0.6375,0.6445552884615385,"[[145 115]
 [174 306]]",0
p28,0.7618384401114207,0.8466367713004485,0.7433070866141732,0.9833333333333333,0.890563725490196,"[[ 75 163]
 [  8 472]]",0
p29,0.45442536327608984,0.39883551673944684,0.7527472527472527,0.2712871287128713,0.6040625491120539,"[[207  45]
 [368 137]]",0
p30,0.831275720164609,0.8622620380739083,0.9299516908212561,0.8037578288100209,0.9282254697286012,"[[221  29]
 [ 94 385]]",0
p31,0.9380645161290323,0.9538461538461539,0.9323308270676691,0.9763779527559056,0.977034120734908,"[[231  36]
 [ 12 496]]",0
p1,0.881578947368421,0.9027611044417767,0.9817232375979112,0.8355555555555556,0.9739506172839506,"[[227   7]
 [ 74 376]]",1
p2,0.9192825112107623,0.9394618834080719,0.9290465631929047,0.9501133786848073,0.9536987309543701,"[[196  32]
 [ 22 419]]",1
p3,0.749185667752443,0.7694610778443115,0.9311594202898551,0.6556122448979592,0.863003309431881,"[[203  19]
 [135 257]]",1
p4,0.833063209076175,0.8667529107373868,0.9490084985835694,0.7976190476190477,0.9453106115542662,"[[179  18]
 [ 85 335]]",1
p5,0.9257503949447078,0.9450292397660819,0.9395348837209302,0.9505882352941176,0.9810294117647059,"[[182  26]
 [ 21 404]]",1
p6,0.9640062597809077,0.9733487833140209,0.9790209790209791,0.967741935483871,0.9937507024839835,"[[196   9]
 [ 14 420]]",1
