test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.7850877192982456,0.8403908794788274,0.821656050955414,0.86,0.8418423551756885,"[[150  84]
 [ 63 387]]",0
p2,0.7742899850523169,0.8312849162011173,0.8193832599118943,0.8435374149659864,0.816853642041612,"[[146  82]
 [ 69 372]]",0
p3,0.6726384364820847,0.7351778656126482,0.7602179836512262,0.7117346938775511,0.7426227247655819,"[[134  88]
 [113 279]]",0
p4,0.7325769854132901,0.8061104582843713,0.7958236658932715,0.8166666666666667,0.7504713560551124,"[[109  88]
 [ 77 343]]",0
p5,0.7693522906793049,0.8450106157112526,0.769825918762089,0.9364705882352942,0.7956900452488688,"[[ 89 119]
 [ 27 398]]",0
p6,0.7996870109546166,0.8584070796460177,0.825531914893617,0.8940092165898618,0.8425311902888615,"[[123  82]
 [ 46 388]]",0
p7,0.7768115942028986,0.8522072936660269,0.7589743589743589,0.9715536105032823,0.8347639484978541,"[[ 92 141]
 [ 13 444]]",0
p8,0.8220858895705522,0.8794178794178793,0.8103448275862069,0.9613636363636363,0.825948756432247,"[[113  99]
 [ 17 423]]",0
p9,0.7682926829268293,0.8429752066115702,0.768361581920904,0.9336384439359268,0.7966416935728243,"[[ 96 123]
 [ 29 408]]",0
p10,0.7313195548489666,0.822292323869611,0.7200736648250461,0.9583333333333334,0.7796779345222252,"[[ 69 152]
 [ 17 391]]",0
p11,0.8211508553654744,0.877005347593583,0.8167330677290837,0.9468822170900693,0.8562685582316067,"[[118  92]
 [ 23 410]]",0
p12,0.7337461300309598,0.8223140495867768,0.7467166979362101,0.9149425287356322,0.7423162826169853,"[[ 76 135]
 [ 37 398]]",0
p13,0.8902691511387164,0.9316129032258065,0.9601063829787234,0.9047619047619048,0.9481292517006802,"[[ 69  15]
 [ 38 361]]",0
p14,0.7725118483412322,0.8487394957983192,0.7829457364341085,0.926605504587156,0.8141445070553718,"[[ 85 112]
 [ 32 404]]",0
p15,0.7534883720930232,0.826608505997819,0.7945492662473794,0.8613636363636363,0.7551330376940133,"[[107  98]
 [ 61 379]]",0
p16,0.7422360248447205,0.8278008298755186,0.751412429378531,0.9214780600461894,0.7510589625997396,"[[ 79 132]
 [ 34 399]]",0
p17,0.8111782477341389,0.8630887185104053,0.8365180467091295,0.8914027149321267,0.8783833813245578,"[[143  77]
 [ 48 394]]",0
p18,0.7565485362095532,0.8336842105263158,0.7571701720841301,0.927400468384075,0.7726807603856785,"[[ 95 127]
 [ 31 396]]",0
p19,0.7892307692307692,0.8541001064962725,0.8052208835341366,0.909297052154195,0.8167333919213619,"[[112  97]
 [ 40 401]]",0
p20,0.713490959666203,0.8026819923371648,0.7174657534246576,0.9108695652173913,0.7024215208997818,"[[ 94 165]
 [ 41 419]]",0
p21,0.8061674008810573,0.8663967611336033,0.7925925925925926,0.9553571428571429,0.8672593500919682,"[[121 112]
 [ 20 428]]",0
p22,0.7146853146853147,0.817531305903399,0.7185534591194969,0.9481327800829875,0.6758410058233754,"[[ 54 179]
 [ 25 457]]",0
