test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.49853801169590645,0.4254606365159129,0.39937106918238996,0.4551971326164875,0.493747510951812,"[[214 191]
 [152 127]]",0
p2,0.4484304932735426,0.5483476132190943,0.8648648648648649,0.4014336917562724,0.5448593755045368,"[[ 76  35]
 [334 224]]",0
p3,0.6351791530944625,0.23809523809523805,0.15486725663716813,0.5147058823529411,0.5835218702865762,"[[355 191]
 [ 33  35]]",0
p4,0.46677471636953,0.44142614601018676,0.6735751295336787,0.3282828282828283,0.5825506193153251,"[[158  63]
 [266 130]]",0
p5,0.5908372827804107,0.09756097560975609,0.10606060606060606,0.09032258064516129,0.4028748819003915,"[[360 118]
 [141  14]]",0
p6,0.486697965571205,0.4826498422712934,0.7018348623853211,0.36778846153846156,0.548734477406002,"[[158  65]
 [263 153]]",0
p7,0.5652173913043478,0.10179640718562874,0.0648854961832061,0.2361111111111111,0.40024946062567424,"[[373 245]
 [ 55  17]]",0
p8,0.5184049079754601,0.5868421052631579,0.8544061302681992,0.4468937875751503,0.6035797084364808,"[[115  38]
 [276 223]]",0
p9,0.5716463414634146,0.5212947189097104,0.36428571428571427,0.9161676646706587,0.7282184098061546,"[[222 267]
 [ 14 153]]",0
p10,0.43720190779014306,0.2891566265060241,0.19726027397260273,0.5413533834586466,0.4691820276497696,"[[203 293]
 [ 61  72]]",0
p11,0.5194401244167963,0.5795918367346939,0.7745454545454545,0.46304347826086956,0.5629246851983845,"[[121  62]
 [247 213]]",0
p12,0.6377708978328174,0.16428571428571428,0.12365591397849462,0.24468085106382978,0.4988243909959914,"[[389 163]
 [ 71  23]]",0
p13,0.34368530020703936,0.08645533141210374,0.1171875,0.0684931506849315,0.3002456067524561,"[[151 113]
 [204  15]]",0
p14,0.6492890995260664,0.43076923076923074,0.3925233644859813,0.4772727272727273,0.6065434155559976,"[[327 130]
 [ 92  84]]",0
p15,0.517829457364341,0.453427065026362,0.4417808219178082,0.4657039711191336,0.5113502589860304,"[[205 163]
 [148 129]]",0
p16,0.5885093167701864,0.5276292335115865,0.8457142857142858,0.38341968911917096,0.6753223279913242,"[[231  27]
 [238 148]]",0
p17,0.5845921450151057,0.40087145969498916,0.38493723849372385,0.41818181818181815,0.5551419169066227,"[[295 147]
 [128  92]]",0
p18,0.5685670261941448,0.4166666666666667,0.40160642570281124,0.4329004329004329,0.5403591623687317,"[[269 149]
 [131 100]]",0
p19,0.44769230769230767,0.3925549915397631,0.3240223463687151,0.4978540772532189,0.459536233674005,"[[175 242]
 [117 116]]",0
p20,0.5702364394993046,0.6245443499392468,0.7219101123595506,0.550321199143469,0.5769093504639544,"[[153  99]
 [210 257]]",0
p21,0.5873715124816447,0.5560821484992101,0.5222551928783383,0.5945945945945946,0.6023868023868024,"[[224 161]
 [120 176]]",0
p23,0.48153214774281805,0.3476764199655765,0.7318840579710145,0.22799097065462753,0.5409690870328568,"[[251  37]
 [342 101]]",0
p24,0.5290148448043185,0.5653798256537982,0.5896103896103896,0.5430622009569378,0.5201719821648125,"[[165 158]
 [191 227]]",0
p25,0.5806896551724138,0.6180904522613067,0.7592592592592593,0.5211864406779662,0.6237103905674282,"[[175  78]
 [226 246]]",0
p26,0.6076487252124646,0.546644844517185,0.5422077922077922,0.5511551155115512,0.606838971738365,"[[262 141]
 [136 167]]",0
p27,0.5648648648648649,0.6024691358024691,0.6559139784946236,0.5570776255707762,0.58718512806556,"[[174 128]
 [194 244]]",0
p28,0.34958217270194986,0.07524752475247526,0.04008438818565401,0.6129032258064516,0.47077053106071276,"[[232 455]
 [ 12  19]]",0
p29,0.5085865257595773,0.6523364485981308,0.8638613861386139,0.524024024024024,0.4542042042042042,"[[ 36  55]
 [317 349]]",0
p30,0.5020576131687243,0.5841924398625429,0.7456140350877193,0.480225988700565,0.5243537065570965,"[[111  87]
 [276 255]]",0
p31,0.5754838709677419,0.5754838709677419,0.5126436781609195,0.6558823529411765,0.6242866801893171,"[[223 212]
 [117 223]]",0
p1,0.5570175438596491,0.5167464114832536,0.46551724137931033,0.5806451612903226,0.5546484357714943,"[[219 186]
 [117 162]]",1
p2,0.4170403587443946,0.5075757575757576,0.8589743589743589,0.3602150537634409,0.5188252768897931,"[[ 78  33]
 [357 201]]",1
p3,0.6579804560260586,0.2553191489361702,0.16822429906542055,0.5294117647058824,0.5932315233785822,"[[368 178]
 [ 32  36]]",1
p4,0.47163695299837927,0.44557823129251706,0.6822916666666666,0.33080808080808083,0.5858185931715344,"[[160  61]
 [265 131]]",1
p5,0.5766192733017378,0.10666666666666667,0.1103448275862069,0.1032258064516129,0.3973140774733432,"[[349 129]
 [139  16]]",1
p6,0.47730829420970267,0.47812499999999997,0.6830357142857143,0.36778846153846156,0.5363541307347361,"[[152  71]
 [263 153]]",1
p7,0.6144927536231884,0.13071895424836602,0.08547008547008547,0.2777777777777778,0.44725368572455954,"[[404 214]
 [ 52  20]]",1
p8,0.48773006134969327,0.5510752688172044,0.8367346938775511,0.41082164328657317,0.5844695927803318,"[[113  40]
 [294 205]]",1
p9,0.5579268292682927,0.5068027210884354,0.35391923990498814,0.8922155688622755,0.7069970488470911,"[[217 272]
 [ 18 149]]",1
p10,0.46740858505564387,0.30062630480167013,0.20809248554913296,0.5413533834586466,0.5023420446276983,"[[222 274]
 [ 61  72]]",1
p11,0.5101088646967341,0.5643153526970954,0.7756653992395437,0.4434782608695652,0.5666904252791637,"[[124  59]
 [256 204]]",1
p12,0.6300309597523219,0.16140350877192983,0.12041884816753927,0.24468085106382978,0.4956059204440333,"[[384 168]
 [ 71  23]]",1
p13,0.3250517598343685,0.08426966292134831,0.10948905109489052,0.0684931506849315,0.2819634703196347,"[[142 122]
 [204  15]]",1
p14,0.6587677725118484,0.4404145077720207,0.40476190476190477,0.48295454545454547,0.6159923910881242,"[[332 125]
 [ 91  85]]",1
p15,0.5317829457364341,0.4645390070921986,0.4564459930313589,0.4729241877256318,0.5300826008475907,"[[212 156]
 [146 131]]",1
p16,0.5574534161490683,0.5161290322580645,0.7487684729064039,0.39378238341968913,0.6245933244969273,"[[207  51]
 [234 152]]",1
p17,0.5785498489425982,0.392156862745098,0.37656903765690375,0.4090909090909091,0.5425904977375565,"[[293 149]
 [130  90]]",1
p18,0.5500770416024653,0.40890688259109315,0.3840304182509506,0.43722943722943725,0.5258186789287267,"[[256 162]
 [130 101]]",1
