test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.6125730994152047,0.38799076212471134,0.5454545454545454,0.3010752688172043,0.6694101508916324,"[[335  70]
 [195  84]]",0
p2,0.47533632286995514,0.5459249676584734,0.9813953488372092,0.3781362007168459,0.7254996932416287,"[[107   4]
 [347 211]]",0
p3,0.747557003257329,0.31718061674008813,0.22641509433962265,0.5294117647058824,0.6835003232062056,"[[423 123]
 [ 32  36]]",0
p4,0.513776337115073,0.4680851063829786,0.7857142857142857,0.3333333333333333,0.612733671557201,"[[185  36]
 [264 132]]",0
p5,0.8088467614533965,0.670299727520436,0.5801886792452831,0.7935483870967742,0.8636658118504521,"[[389  89]
 [ 32 123]]",0
p6,0.5054773082942097,0.40823970037453183,0.923728813559322,0.2620192307692308,0.7275569161779923,"[[214   9]
 [307 109]]",0
p7,0.6797101449275362,0.03493449781659389,0.025477707006369428,0.05555555555555555,0.43089266450916935,"[[465 153]
 [ 68   4]]",0
p8,0.48006134969325154,0.49022556390977445,0.9819277108433735,0.32665330661322645,0.8399806148244201,"[[150   3]
 [336 163]]",0
p9,0.6310975609756098,0.5217391304347826,0.3893805309734513,0.7904191616766467,0.8008400377159791,"[[282 207]
 [ 35 132]]",0
p10,0.7042925278219396,0.35416666666666663,0.32903225806451614,0.38345864661654133,0.7045234052874122,"[[392 104]
 [ 82  51]]",0
p11,0.4618973561430793,0.4194630872483221,0.9191176470588235,0.2717391304347826,0.6825255405084343,"[[172  11]
 [335 125]]",0
p12,0.7492260061919505,0.2831858407079646,0.24242424242424243,0.3404255319148936,0.6584566759173605,"[[452 100]
 [ 62  32]]",0
p13,0.43685300207039335,0.23163841807909602,0.3037037037037037,0.1872146118721461,0.466324200913242,"[[170  94]
 [178  41]]",0
p14,0.669826224328594,0.35692307692307695,0.38926174496644295,0.32954545454545453,0.6659787149393276,"[[366  91]
 [118  58]]",0
p15,0.5534883720930233,0.42857142857142855,0.47577092511013214,0.3898916967509025,0.6105693768639145,"[[249 119]
 [169 108]]",0
p16,0.6350931677018633,0.6141215106732348,0.8385650224215246,0.4844559585492228,0.7908181708639596,"[[222  36]
 [199 187]]",0
p17,0.6888217522658611,0.5381165919282512,0.5309734513274337,0.5454545454545454,0.6765014397367339,"[[336 106]
 [100 120]]",0
p18,0.5855161787365177,0.4061810154525386,0.4144144144144144,0.39826839826839827,0.5483129310880508,"[[288 130]
 [139  92]]",0
p19,0.5215384615384615,0.3311827956989248,0.33189655172413796,0.33047210300429186,0.42502650240322765,"[[262 155]
 [156  77]]",0
p20,0.5243393602225312,0.5302197802197802,0.7394636015325671,0.4132762312633833,0.5648516365861119,"[[184  68]
 [274 193]]",0
p21,0.6255506607929515,0.5799011532125207,0.5659163987138264,0.5945945945945946,0.6681730431730433,"[[250 135]
 [120 176]]",0
p23,0.585499316005472,0.49415692821368945,0.9487179487179487,0.3340857787810384,0.7128480060195636,"[[280   8]
 [295 148]]",0
p24,0.44804318488529016,0.39586410635155095,0.5173745173745173,0.32057416267942584,0.442161553616662,"[[198 125]
 [284 134]]",0
p25,0.5462068965517242,0.5140324963072378,0.848780487804878,0.3686440677966102,0.6465381523413948,"[[222  31]
 [298 174]]",0
p26,0.6345609065155807,0.5612244897959184,0.5789473684210527,0.5445544554455446,0.6525317544161364,"[[283 120]
 [138 165]]",0
p27,0.6175675675675676,0.5856515373352855,0.8163265306122449,0.45662100456621,0.7431053252290665,"[[257  45]
 [238 200]]",0
p28,0.4832869080779944,0.08845208845208846,0.047872340425531915,0.5806451612903226,0.5458515283842795,"[[329 358]
 [ 13  18]]",0
p29,0.24438573315719947,0.26288659793814434,0.9272727272727272,0.15315315315315314,0.5151470151470152,"[[ 83   8]
 [564 102]]",0
p30,0.4691358024691358,0.5320435308343409,0.7432432432432432,0.4143126177024482,0.5883505488025262,"[[122  76]
 [311 220]]",0
p31,0.6735483870967742,0.6622162883845126,0.6063569682151589,0.7294117647058823,0.7675388776200135,"[[274 161]
 [ 92 248]]",0
p1,0.5950292397660819,0.3420427553444181,0.5070422535211268,0.25806451612903225,0.6508075578565423,"[[335  70]
 [207  72]]",1
p2,0.42152466367713004,0.4763193504736129,0.9723756906077348,0.3154121863799283,0.6971164713100197,"[[106   5]
 [382 176]]",1
p3,0.754071661237785,0.32286995515695066,0.23225806451612904,0.5294117647058824,0.6660741219564749,"[[427 119]
 [ 32  36]]",1
