test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.5292397660818714,0.3611111111111111,0.40444444444444444,0.32616487455197135,0.4920483207221559,"[[271 134]
 [188  91]]",0
p2,0.5994020926756353,0.6968325791855204,0.9447852760736196,0.5519713261648745,0.7825083147663794,"[[ 93  18]
 [250 308]]",0
p3,0.5912052117263844,0.22769230769230764,0.14396887159533073,0.5441176470588235,0.6045841413488472,"[[326 220]
 [ 31  37]]",0
p4,0.5072933549432739,0.44927536231884063,0.7948717948717948,0.31313131313131315,0.6290392613922026,"[[189  32]
 [272 124]]",0
p5,0.6998420221169036,0.3790849673202615,0.3841059602649007,0.3741935483870968,0.6615197732487516,"[[385  93]
 [ 97  58]]",0
p6,0.5086071987480438,0.5169230769230769,0.717948717948718,0.40384615384615385,0.591119782683684,"[[157  66]
 [248 168]]",0
p7,0.5376811594202898,0.23866348448687352,0.1440922190201729,0.6944444444444444,0.6250449478604818,"[[321 297]
 [ 22  50]]",0
p8,0.4386503067484663,0.45535714285714285,0.884393063583815,0.3066132264529058,0.6842705017878894,"[[133  20]
 [346 153]]",0
p9,0.6661585365853658,0.4748201438848921,0.396,0.592814371257485,0.6950516145622865,"[[338 151]
 [ 68  99]]",0
p10,0.6581875993640699,0.4297082228116711,0.3319672131147541,0.6090225563909775,0.697019767159835,"[[333 163]
 [ 52  81]]",0
p11,0.5972006220839814,0.661437908496732,0.8295081967213115,0.55,0.6987407935376574,"[[131  52]
 [207 253]]",0
p12,0.6377708978328174,0.3275862068965517,0.22440944881889763,0.6063829787234043,0.7050474098057354,"[[355 197]
 [ 37  57]]",0
p13,0.629399585921325,0.5959367945823929,0.5892857142857143,0.6027397260273972,0.6266431437664314,"[[172  92]
 [ 87 132]]",0
p14,0.5734597156398105,0.2285714285714286,0.22988505747126436,0.22727272727272727,0.4851551621245276,"[[323 134]
 [136  40]]",0
p15,0.5581395348837209,0.4991212653778559,0.4863013698630137,0.5126353790613718,0.5890068278135301,"[[218 150]
 [135 142]]",0
p16,0.6304347826086957,0.628125,0.7913385826771654,0.5207253886010362,0.6959021167208901,"[[205  53]
 [185 201]]",0
p17,0.6178247734138973,0.4970178926441352,0.4416961130742049,0.5681818181818182,0.6270464829288359,"[[284 158]
 [ 95 125]]",0
p18,0.5963020030816641,0.4072398190045249,0.4265402843601896,0.38961038961038963,0.5546821599453178,"[[297 121]
 [141  90]]",0
p19,0.5646153846153846,0.4418145956607495,0.40875912408759124,0.48068669527896996,0.5511058963987608,"[[255 162]
 [121 112]]",0
p20,0.46870653685674546,0.4298507462686567,0.7093596059113301,0.3083511777301927,0.5423507018796098,"[[193  59]
 [323 144]]",0
p21,0.5007342143906021,0.5238095238095238,0.4473684210526316,0.6317567567567568,0.5194278694278694,"[[154 231]
 [109 187]]",0
p23,0.5554035567715458,0.5870393900889453,0.6715116279069767,0.5214446952595937,0.5880204414346626,"[[175 113]
 [212 231]]",0
p24,0.4426450742240216,0.5042016806722689,0.5060240963855421,0.5023923444976076,0.39621446664790316,"[[118 205]
 [208 210]]",0
p25,0.6220689655172413,0.6608910891089109,0.7946428571428571,0.565677966101695,0.7043361023648422,"[[184  69]
 [205 267]]",0
p26,0.5764872521246459,0.5435114503816795,0.5056818181818182,0.5874587458745875,0.5852885536692627,"[[229 174]
 [125 178]]",0
p27,0.6608108108108108,0.7064327485380116,0.7242206235011991,0.6894977168949772,0.6836765550817987,"[[187 115]
 [136 302]]",0
p28,0.5626740947075209,0.12777777777777777,0.06990881458966565,0.7419354838709677,0.6787810489740338,"[[381 306]
 [  8  23]]",0
p29,0.3513870541611625,0.45625692137320045,0.869198312236287,0.30930930930930933,0.4922367422367423,"[[ 60  31]
 [460 206]]",0
p30,0.5102880658436214,0.6002239641657334,0.7403314917127072,0.504708097928437,0.5339506172839507,"[[104  94]
 [263 268]]",0
p31,0.6012903225806452,0.6189889025893958,0.5329087048832272,0.7382352941176471,0.6406085192697768,"[[215 220]
 [ 89 251]]",0
p1,0.5292397660818714,0.3611111111111111,0.40444444444444444,0.32616487455197135,0.49205717067126864,"[[271 134]
 [188  91]]",1
p2,0.5994020926756353,0.6968325791855204,0.9447852760736196,0.5519713261648745,0.7825244599438149,"[[ 93  18]
 [250 308]]",1
p3,0.5912052117263844,0.22769230769230764,0.14396887159533073,0.5441176470588235,0.6045841413488472,"[[326 220]
 [ 31  37]]",1
p4,0.5072933549432739,0.44927536231884063,0.7948717948717948,0.31313131313131315,0.6290164084281731,"[[189  32]
 [272 124]]",1
p5,0.6998420221169036,0.3790849673202615,0.3841059602649007,0.3741935483870968,0.6615197732487514,"[[385  93]
 [ 97  58]]",1
p6,0.5086071987480438,0.5169230769230769,0.717948717948718,0.40384615384615385,0.5911090031045187,"[[157  66]
 [248 168]]",1
p7,0.5376811594202898,0.23866348448687352,0.1440922190201729,0.6944444444444444,0.6250674217907228,"[[321 297]
 [ 22  50]]",1
p8,0.4386503067484663,0.45535714285714285,0.884393063583815,0.3066132264529058,0.6844014827039699,"[[133  20]
 [346 153]]",1
p9,0.6661585365853658,0.4748201438848921,0.396,0.592814371257485,0.6950271236667769,"[[338 151]
 [ 68  99]]",1
p10,0.6581875993640699,0.4297082228116711,0.3319672131147541,0.6090225563909775,0.697019767159835,"[[333 163]
 [ 52  81]]",1
p11,0.5972006220839814,0.661437908496732,0.8295081967213115,0.55,0.6987229745782846,"[[131  52]
 [207 253]]",1
p12,0.6377708978328174,0.3275862068965517,0.22440944881889763,0.6063829787234043,0.7050570459451125,"[[355 197]
 [ 37  57]]",1
p13,0.629399585921325,0.5959367945823929,0.5892857142857143,0.6027397260273972,0.6266604400166044,"[[172  92]
 [ 87 132]]",1
p14,0.5734597156398105,0.2285714285714286,0.22988505747126436,0.22727272727272727,0.4851551621245276,"[[323 134]
 [136  40]]",1
