test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.5131578947368421,0.08264462809917356,0.17857142857142858,0.053763440860215055,0.2835169697774238,"[[336  69]
 [264  15]]",0
p2,0.5530642750373692,0.6436233611442194,0.9608540925266904,0.4838709677419355,0.7968129419742324,"[[100  11]
 [288 270]]",0
p3,0.754071661237785,0.29767441860465116,0.21768707482993196,0.47058823529411764,0.5234593837535013,"[[431 115]
 [ 36  32]]",0
p4,0.5510534846029174,0.578386605783866,0.7279693486590039,0.4797979797979798,0.6267311120252297,"[[150  71]
 [206 190]]",0
p5,0.8151658767772512,0.6759002770083102,0.5922330097087378,0.7870967741935484,0.8649007963287894,"[[394  84]
 [ 33 122]]",0
p6,0.513302034428795,0.4120982986767486,0.9646017699115044,0.2620192307692308,0.771052518109693,"[[219   4]
 [307 109]]",0
p7,0.6304347826086957,0.03773584905660377,0.025906735751295335,0.06944444444444445,0.24887630348795398,"[[430 188]
 [ 67   5]]",0
p8,0.5107361963190185,0.5329428989751098,0.9891304347826086,0.36472945891783565,0.8685541016673871,"[[151   2]
 [317 182]]",0
p9,0.6570121951219512,0.5901639344262295,0.42408376963350786,0.9700598802395209,0.9021833633346804,"[[269 220]
 [  5 162]]",0
p10,0.6947535771065183,0.3286713286713287,0.30718954248366015,0.3533834586466165,0.6804359689546446,"[[390 106]
 [ 86  47]]",0
p11,0.48989113530326595,0.4858934169278998,0.8707865168539326,0.33695652173913043,0.5972024233784747,"[[160  23]
 [305 155]]",0
p12,0.7260061919504643,0.18433179723502308,0.16260162601626016,0.2127659574468085,0.6745490286771507,"[[449 103]
 [ 74  20]]",0
p13,0.2795031055900621,0.13432835820895522,0.14754098360655737,0.1232876712328767,0.2936730316867303,"[[108 156]
 [192  27]]",0
p14,0.7061611374407583,0.5463414634146342,0.47863247863247865,0.6363636363636364,0.7443306146807241,"[[335 122]
 [ 64 112]]",0
p15,0.5255813953488372,0.45744680851063835,0.44947735191637633,0.4657039711191336,0.6048353869094334,"[[210 158]
 [148 129]]",0
p16,0.734472049689441,0.7496339677891655,0.8619528619528619,0.6632124352331606,0.8632867413744627,"[[217  41]
 [130 256]]",0
p17,0.6616314199395771,0.588235294117647,0.49382716049382713,0.7272727272727273,0.7502776635129578,"[[278 164]
 [ 60 160]]",0
