test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.5029239766081871,0.41780821917808225,0.4,0.43727598566308246,0.5298862781539007,"[[222 183]
 [157 122]]",0
p2,0.4588938714499253,0.5530864197530864,0.8888888888888888,0.4014336917562724,0.5993332041719138,"[[ 83  28]
 [334 224]]",0
p3,0.6156351791530945,0.20270270270270271,0.13157894736842105,0.4411764705882353,0.5243078000430942,"[[348 198]
 [ 38  30]]",0
p4,0.5235008103727715,0.5196078431372549,0.7361111111111112,0.4015151515151515,0.5793340646281822,"[[164  57]
 [237 159]]",0
p5,0.5671406003159558,0.3284313725490196,0.2648221343873518,0.432258064516129,0.5509987852611689,"[[292 186]
 [ 88  67]]",0
p6,0.48043818466353677,0.4844720496894411,0.6842105263157895,0.375,0.5204542514660228,"[[151  72]
 [260 156]]",0
p7,0.5391304347826087,0.17187499999999997,0.10576923076923077,0.4583333333333333,0.5347784070478244,"[[339 279]
 [ 39  33]]",0
p8,0.49846625766871167,0.5645805592543275,0.8412698412698413,0.4248496993987976,0.6061731305748753,"[[113  40]
 [287 212]]",0
p9,0.5884146341463414,0.38636363636363635,0.31135531135531136,0.5089820359281437,0.5913020584597677,"[[301 188]
 [ 82  85]]",0
p10,0.5834658187599364,0.3640776699029126,0.26881720430107525,0.5639097744360902,0.5816987024011642,"[[292 204]
 [ 58  75]]",0
p11,0.5552099533437014,0.6038781163434902,0.8320610687022901,0.47391304347826085,0.6645640294606795,"[[139  44]
 [242 218]]",0
p12,0.5851393188854489,0.2872340425531915,0.19148936170212766,0.574468085106383,0.6105361547949428,"[[324 228]
 [ 40  54]]",0
p13,0.6169772256728778,0.582392776523702,0.5758928571428571,0.589041095890411,0.645504704580047,"[[169  95]
 [ 90 129]]",0
p14,0.5655608214849921,0.3276283618581907,0.2875536480686695,0.3806818181818182,0.5140180525164113,"[[291 166]
 [109  67]]",0
p15,0.5472868217054263,0.45724907063197023,0.47126436781609193,0.44404332129963897,0.5676012399937216,"[[230 138]
 [154 123]]",0
p16,0.5186335403726708,0.5079365079365079,0.6557377049180327,0.41450777202072536,0.5591035064465598,"[[174  84]
 [226 160]]",0
p17,0.5574018126888217,0.44821092278719393,0.38263665594855306,0.5409090909090909,0.5941176470588235,"[[250 192]
 [101 119]]",0
p18,0.5346687211093991,0.4344569288389513,0.38283828382838286,0.5021645021645021,0.5166428467863875,"[[231 187]
 [115 116]]",0
p19,0.5015384615384615,0.3816793893129771,0.3436426116838488,0.4291845493562232,0.4767139078436821,"[[226 191]
 [133 100]]",0
p20,0.47983310152990266,0.4702549575070821,0.694560669456067,0.3554603854389722,0.5028168655042318,"[[179  73]
 [301 166]]",0
p21,0.461086637298091,0.461086637298091,0.4077922077922078,0.5304054054054054,0.46932256932256927,"[[157 228]
 [139 157]]",0
p23,0.5170998632010944,0.5131034482758621,0.6595744680851063,0.4198645598194131,0.5306347190870329,"[[192  96]
 [257 186]]",0
p24,0.37516869095816463,0.39477124183006534,0.43515850144092216,0.361244019138756,0.33273216110921827,"[[127 196]
 [267 151]]",0
p25,0.5310344827586206,0.5618556701030929,0.7171052631578947,0.461864406779661,0.5927723253165404,"[[167  86]
 [254 218]]",0
p26,0.5212464589235127,0.523943661971831,0.457002457002457,0.6138613861386139,0.5506473724295508,"[[182 221]
 [117 186]]",0
