test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.4064327485380117,0.4453551912568306,0.7761904761904762,0.31226053639846746,0.5006267442410482,"[[115  47]
 [359 163]]",0
p2,0.8400597907324364,0.8633461047254151,0.8733850129198967,0.8535353535353535,0.917027417027417,"[[224  49]
 [ 58 338]]",0
p3,0.6302931596091205,0.5487077534791253,0.9324324324324325,0.38873239436619716,0.7585839360487248,"[[249  10]
 [217 138]]",0
p4,0.5769854132901134,0.6233766233766234,0.9773755656108597,0.4576271186440678,0.8501315020455874,"[[140   5]
 [256 216]]",0
p5,0.740916271721959,0.690566037735849,0.5335276967930029,0.9786096256684492,0.9665715450468814,"[[286 160]
 [  4 183]]",0
p6,0.758998435054773,0.7601246105919004,0.7283582089552239,0.7947882736156352,0.86030768023233,"[[241  91]
 [ 63 244]]",0
p7,0.7231884057971014,0.7456724367509987,0.877742946708464,0.6481481481481481,0.8414800459374102,"[[219  39]
 [152 280]]",0
p8,0.803680981595092,0.8227146814404434,0.7443609022556391,0.9195046439628483,0.9042223832422106,"[[227 102]
 [ 26 297]]",0
p9,0.5442073170731707,0.5782792665726375,0.4244306418219462,0.9070796460176991,0.6571310969335254,"[[152 278]
 [ 21 205]]",0
p10,0.8060413354531002,0.8184523809523809,0.7294429708222812,0.9322033898305084,0.9141479752359687,"[[232 102]
 [ 20 275]]",0
p11,0.7076205287713841,0.7911111111111112,1.0,0.6544117647058824,0.901849376114082,"[[ 99   0]
 [188 356]]",0
p12,0.7770897832817337,0.7699680511182109,0.7875816993464052,0.753125,0.855694018404908,"[[261  65]
 [ 79 241]]",0
p13,0.7018633540372671,0.7551020408163264,0.6324786324786325,0.9367088607594937,0.8796610750917635,"[[117 129]
 [ 15 222]]",0
p14,0.8657187993680885,0.8783977110157367,0.8847262247838616,0.8721590909090909,0.8995470721449368,"[[241  40]
 [ 45 307]]",0
p15,0.8403100775193798,0.843226788432268,0.9111842105263158,0.7847025495750708,0.9399084170903023,"[[265  27]
 [ 76 277]]",0
p16,0.6288819875776398,0.5942275042444821,0.4227053140096618,1.0,0.922278403898873,"[[230 239]
 [  0 175]]",0
p17,0.6978851963746223,0.6951219512195121,0.8113879003558719,0.608,0.8213983739837398,"[[234  53]
 [147 228]]",0
p18,0.7257318952234206,0.6972789115646258,0.9234234234234234,0.5601092896174863,0.8185135839657071,"[[266  17]
 [161 205]]",0
p19,0.62,0.5010101010101009,0.36795252225519287,0.7848101265822784,0.7991664093856129,"[[279 213]
 [ 34 124]]",0
p20,0.5757997218358831,0.5781466113416321,0.6023054755043228,0.5558510638297872,0.6269074499100552,"[[205 138]
 [167 209]]",0
p21,0.4522760646108664,0.46330935251798566,0.39851485148514854,0.5532646048109966,0.47813023173847924,"[[147 243]
 [130 161]]",0
p23,0.4774281805745554,0.496042216358839,0.9447236180904522,0.3363148479427549,0.7163955568498566,"[[161  11]
 [371 188]]",0
