test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.27631578947368424,0.2325581395348837,0.6097560975609756,0.14367816091954022,0.4502152216073033,"[[114  48]
 [447  75]]",0
p2,0.7085201793721974,0.782122905027933,0.7014028056112225,0.8838383838383839,0.7037962037962038,"[[124 149]
 [ 46 350]]",0
p3,0.6188925081433225,0.5791366906474821,0.8009950248756219,0.4535211267605634,0.5921583555386373,"[[219  40]
 [194 161]]",0
p4,0.6774716369529984,0.7425614489003882,0.9534883720930233,0.6080508474576272,0.895426651081239,"[[131  14]
 [185 287]]",0
p5,0.7598736176935229,0.6972111553784861,0.5555555555555556,0.9358288770053476,0.9305052636627419,"[[306 140]
 [ 12 175]]",0
p6,0.7104851330203443,0.7375886524822696,0.6532663316582915,0.8469055374592834,0.7702896275656371,"[[194 138]
 [ 47 260]]",0
p7,0.5623188405797102,0.6118251928020567,0.6878612716763006,0.5509259259259259,0.684117499282228,"[[150 108]
 [194 238]]",0
p8,0.8220858895705522,0.8449197860962567,0.7435294117647059,0.978328173374613,0.9660854263317868,"[[220 109]
 [  7 316]]",0
p9,0.41310975609756095,0.4927536231884058,0.350844277673546,0.827433628318584,0.5395451739040955,"[[ 84 346]
 [ 39 187]]",0
p10,0.809220985691574,0.8070739549839228,0.7675840978593272,0.8508474576271187,0.8801583274129706,"[[258  76]
 [ 44 251]]",0
p11,0.6951788491446346,0.7836644591611479,0.9806629834254144,0.6525735294117647,0.9050987819370172,"[[ 92   7]
 [189 355]]",0
p12,0.7894736842105263,0.7914110429447854,0.7771084337349398,0.80625,0.846510736196319,"[[252  74]
 [ 62 258]]",0
p13,0.6770186335403726,0.7328767123287672,0.6167146974063401,0.9029535864978903,0.865184727796645,"[[113 133]
 [ 23 214]]",0
p14,0.9020537124802528,0.9138888888888889,0.8940217391304348,0.9346590909090909,0.9291188126819799,"[[242  39]
 [ 23 329]]",0
p15,0.8604651162790697,0.8652694610778443,0.9174603174603174,0.8186968838526912,0.9538786914509683,"[[266  26]
 [ 64 289]]",0
p16,0.5900621118012422,0.5700325732899023,0.39863325740318906,1.0,0.9451355467560159,"[[205 264]
 [  0 175]]",0
