test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.5409356725146199,0.642369020501139,0.7921348314606742,0.5402298850574713,0.562473392933163,"[[ 88  74]
 [240 282]]",0
p2,0.6860986547085202,0.736842105263158,0.7313432835820896,0.7424242424242424,0.7269536019536019,"[[165 108]
 [102 294]]",0
p3,0.6140065146579805,0.6279434850863422,0.7092198581560284,0.5633802816901409,0.6758061884822448,"[[177  82]
 [155 200]]",0
p4,0.5672609400324149,0.6598726114649681,0.8274760383386581,0.548728813559322,0.6264392168322619,"[[ 91  54]
 [213 259]]",0
p5,0.5055292259083728,0.4843492586490939,0.35,0.786096256684492,0.6860387041078151,"[[173 273]
 [ 40 147]]",0
p6,0.6666666666666666,0.689051094890511,0.6243386243386243,0.7687296416938111,0.749646795651662,"[[190 142]
 [ 71 236]]",0
p7,0.7231884057971014,0.7791907514450868,0.7782909930715936,0.7800925925925926,0.7912135730691933,"[[162  96]
 [ 95 337]]",0
p8,0.700920245398773,0.7119645494830134,0.6807909604519774,0.7461300309597523,0.7451795947942447,"[[216 113]
 [ 82 241]]",0
p9,0.6036585365853658,0.5899053627760252,0.4583333333333333,0.827433628318584,0.7328308293887631,"[[209 221]
 [ 39 187]]",0
p10,0.6248012718600954,0.6559766763848396,0.5754475703324808,0.7627118644067796,0.7063889170810921,"[[168 166]
 [ 70 225]]",0
p11,0.6765163297045101,0.778723404255319,0.9242424242424242,0.6727941176470589,0.7432690879382056,"[[ 69  30]
 [178 366]]",0
p12,0.6253869969040248,0.670299727520436,0.5942028985507246,0.76875,0.6915069018404908,"[[158 168]
 [ 74 246]]",0
p13,0.6583850931677019,0.6904315196998123,0.6216216216216216,0.7763713080168776,0.7452403005042707,"[[134 112]
 [ 53 184]]",0
p14,0.6571879936808847,0.7006896551724138,0.6809651474530831,0.7215909090909091,0.7057687641539955,"[[162 119]
 [ 98 254]]",0
p15,0.6341085271317829,0.6694677871148459,0.6620498614958449,0.6770538243626062,0.6861296519073304,"[[170 122]
 [114 239]]",0
p16,0.5822981366459627,0.5187835420393561,0.3776041666666667,0.8285714285714286,0.7465549802010356,"[[230 239]
 [ 30 145]]",0
p17,0.6299093655589124,0.6684709066305818,0.6785714285714286,0.6586666666666666,0.6928594657375146,"[[170 117]
 [128 247]]",0
p18,0.6687211093990755,0.7137150466045272,0.6961038961038961,0.73224043715847,0.69127613972079,"[[166 117]
 [ 98 268]]",0
p19,0.583076923076923,0.4896421845574388,0.3485254691689008,0.8227848101265823,0.7376054852320675,"[[249 243]
 [ 28 130]]",0
p20,0.5006954102920723,0.48493543758966995,0.5264797507788161,0.449468085106383,0.5019113268407667,"[[191 152]
 [207 169]]",0
p21,0.5301027900146843,0.5061728395061729,0.45938375350140054,0.563573883161512,0.5444268217464094,"[[197 193]
 [127 164]]",0
p23,0.43365253077975374,0.5273972602739725,0.7287066246056783,0.41323792486583183,0.41720056579440035,"[[ 86  86]
 [328 231]]",0
p24,0.4574898785425101,0.607421875,0.8638888888888889,0.4683734939759036,0.408171647629479,"[[ 28  49]
 [353 311]]",0
p25,0.5958620689655172,0.5843971631205673,0.6112759643916914,0.5597826086956522,0.609593837535014,"[[226 131]
 [162 206]]",0
p26,0.556657223796034,0.6196840826245443,0.6423173803526449,0.5985915492957746,0.5867035546613012,"[[138 142]
 [171 255]]",0
p27,0.5432432432432432,0.6318082788671024,0.6473214285714286,0.6170212765957447,0.5089519306540583,"[[112 158]
 [180 290]]",0
p29,0.5442536327608983,0.5787545787545787,0.7011834319526628,0.49272349272349275,0.5829529362138057,"[[175 101]
 [244 237]]",0
p30,0.4718792866941015,0.269449715370019,0.1628440366972477,0.7802197802197802,0.6276396017775328,"[[273 365]
 [ 20  71]]",0
p31,0.49290322580645163,0.4345323741007194,0.48242811501597443,0.39528795811518325,0.4782749157374472,"[[231 162]
 [231 151]]",0
