test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.4692982456140351,0.6344410876132931,0.9968354430379747,0.465288035450517,0.6943447984806922,"[[  6   1]
 [362 315]]",0
p2,0.6547085201793722,0.7611168562564633,0.8997555012224939,0.6594982078853047,0.6492298750363268,"[[ 70  41]
 [190 368]]",0
p3,0.5651465798045603,0.5821596244131456,0.6413793103448275,0.5329512893982808,0.5835811212629074,"[[161 104]
 [163 186]]",0
p4,0.3857374392220421,0.48435374149659866,0.8725490196078431,0.3352165725047081,0.552675951473744,"[[ 60  26]
 [353 178]]",0
p5,0.6429699842022117,0.5949820788530465,0.4474393530997305,0.8877005347593583,0.7411932567564328,"[[241 205]
 [ 21 166]]",0
p6,0.5101721439749609,0.5610098176718094,0.5305039787798409,0.5952380952380952,0.50246542511394,"[[126 177]
 [136 200]]",0
p7,0.391304347826087,0.43548387096774194,0.6612244897959184,0.3246492985971944,0.3998310757640936,"[[108  83]
 [337 162]]",0
p8,0.6349693251533742,0.7024999999999999,0.6258351893095768,0.8005698005698005,0.6409025943909665,"[[133 168]
 [ 70 281]]",0
p9,0.5259146341463414,0.6088050314465407,0.6034912718204489,0.6142131979695431,0.48010714147324374,"[[103 159]
 [152 242]]",0
p10,0.5802861685214626,0.46558704453441296,0.40492957746478875,0.5476190476190477,0.5898965791567224,"[[250 169]
 [ 95 115]]",0
p11,0.6625194401244168,0.7559055118110236,0.968299711815562,0.6199261992619927,0.7775291366775055,"[[ 90  11]
 [206 336]]",0
p12,0.6130030959752322,0.39024390243902435,0.31496062992125984,0.5128205128205128,0.6621467817896389,"[[316 174]
 [ 76  80]]",0
p13,0.6645962732919255,0.6086956521739131,0.5,0.7777777777777778,0.7091073420253068,"[[195 126]
 [ 36 126]]",0
p14,0.5876777251184834,0.5121495327102803,0.44336569579288027,0.6061946902654868,0.6245026200778414,"[[235 172]
 [ 89 137]]",0
p15,0.5937984496124031,0.5513698630136986,0.4586894586894587,0.6909871244635193,0.6228488687028626,"[[222 190]
 [ 72 161]]",0
p16,0.6894409937888198,0.3548387096774194,0.41353383458646614,0.3107344632768362,0.5772632139270981,"[[389  78]
 [122  55]]",0
p17,0.6419939577039275,0.6844207723035952,0.692722371967655,0.6763157894736842,0.6384285181037701,"[[168 114]
 [123 257]]",0
p18,0.46687211093990755,0.02259887005649718,0.012121212121212121,0.16666666666666666,0.3026666666666667,"[[299 326]
 [ 20   4]]",0
p19,0.6338461538461538,0.5979729729729729,0.6389891696750902,0.5619047619047619,0.6434162520729685,"[[235 100]
 [138 177]]",0
p20,0.47426981919332406,0.4505813953488372,0.43175487465181056,0.47112462006079026,0.49259605642584364,"[[186 204]
 [174 155]]",0
p21,0.5903083700440529,0.6362451108213819,0.6796657381615598,0.5980392156862745,0.5900398620986856,"[[158 115]
 [164 244]]",0
p22,0.579020979020979,0.21409921671018278,0.1357615894039735,0.5061728395061729,0.5405518557463878,"[[373 261]
 [ 40  41]]",0
p23,0.46511627906976744,0.5237515225334958,0.738831615120275,0.4056603773584906,0.5144372477236459,"[[125  76]
 [315 215]]",0
p24,0.5695006747638327,0.6170468187274909,0.7581120943952803,0.520242914979757,0.6160402563556197,"[[165  82]
 [237 257]]",0
p25,0.6262068965517241,0.6134094151212552,0.8531746031746031,0.47884187082405344,0.6832937929698848,"[[239  37]
 [234 215]]",0
p26,0.5084985835694051,0.5133239831697055,0.6161616161616161,0.43990384615384615,0.5317183355437666,"[[176 114]
 [233 183]]",0
p27,0.5675675675675675,0.6388261851015801,0.6581395348837209,0.6206140350877193,0.521620953792933,"[[137 147]
 [173 283]]",0
p29,0.34478203434610305,0.41092636579572445,0.7863636363636364,0.27813504823151125,0.44730856258187446,"[[ 88  47]
 [449 173]]",0
p31,0.5329032258064517,0.581986143187067,0.5806451612903226,0.5833333333333334,0.5552113702623906,"[[161 182]
 [180 252]]",0
p1,0.4766081871345029,0.6412825651302605,0.9968847352024922,0.4726735598227474,0.6980375606668073,"[[  6   1]
 [357 320]]",1
p2,0.6606875934230194,0.7662203913491246,0.9007263922518159,0.6666666666666666,0.6529432658464918,"[[ 70  41]
 [186 372]]",1
p3,0.5423452768729642,0.5430894308943089,0.6278195488721805,0.4785100286532951,0.5631129372330649,"[[166  99]
 [182 167]]",1
p4,0.39708265802269044,0.4986522911051213,0.8767772511848341,0.3483992467043315,0.5552818289318091,"[[ 60  26]
 [346 185]]",1
p5,0.6287519747235387,0.5855379188712522,0.4368421052631579,0.8877005347593583,0.7272487470324452,"[[232 214]
 [ 21 166]]",1
p6,0.5179968701095462,0.5661971830985916,0.5374331550802139,0.5982142857142857,0.5035508015087223,"[[130 173]
 [135 201]]",1
p7,0.3898550724637681,0.4272108843537415,0.6652542372881356,0.31462925851703405,0.4155221437639678,"[[112  79]
 [342 157]]",1
p8,0.6273006134969326,0.6880616174582799,0.6261682242990654,0.7635327635327636,0.6438888415632602,"[[141 160]
 [ 83 268]]",1
p9,0.5259146341463414,0.6088050314465407,0.6034912718204489,0.6142131979695431,0.4855998372534584,"[[103 159]
 [152 242]]",1
p10,0.5818759936406995,0.4729458917835671,0.4083044982698962,0.5619047619047619,0.5947834981247869,"[[248 171]
 [ 92 118]]",1
p11,0.6283048211508554,0.7243367935409457,0.9661538461538461,0.5793357933579336,0.7658105293924226,"[[ 90  11]
 [228 314]]",1
p12,0.6068111455108359,0.3923444976076555,0.31297709923664124,0.5256410256410257,0.6524136577708006,"[[310 180]
 [ 74  82]]",1
p13,0.6459627329192547,0.5957446808510638,0.4827586206896552,0.7777777777777778,0.6970789585015962,"[[186 135]
 [ 36 126]]",1
p14,0.5955766192733017,0.5187969924812029,0.45098039215686275,0.6106194690265486,0.6365810702093888,"[[239 168]
 [ 88 138]]",1
p15,0.57984496124031,0.5430016863406408,0.44722222222222224,0.6909871244635193,0.6025980249177049,"[[213 199]
 [ 72 161]]",1
p16,0.6847826086956522,0.35143769968051125,0.40441176470588236,0.3107344632768362,0.5745714320279703,"[[386  81]
 [122  55]]",1
p17,0.6435045317220544,0.6853333333333333,0.6945945945945946,0.6763157894736842,0.6428658081373647,"[[169 113]
 [123 257]]",1
