test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.30409356725146197,0.45785876993166286,1.0,0.2968980797636632,0.8947035239502004,"[[  7   0]
 [476 201]]",0
p2,0.7414050822122571,0.8250758341759352,0.9466357308584686,0.7311827956989247,0.7988956698634118,"[[ 88  23]
 [150 408]]",0
p3,0.7280130293159609,0.7533234859675038,0.7774390243902439,0.7306590257879656,0.7898686273449749,"[[192  73]
 [ 94 255]]",0
p4,0.49756888168557534,0.6124999999999999,0.9107806691449815,0.4613935969868173,0.6770682783690274,"[[ 62  24]
 [286 245]]",0
p5,0.5987361769352291,0.555944055944056,0.412987012987013,0.8502673796791443,0.8151722980264262,"[[220 226]
 [ 28 159]]",0
p6,0.7057902973395931,0.7352112676056338,0.6978609625668449,0.7767857142857143,0.7398436272198647,"[[190 113]
 [ 75 261]]",0
p7,0.5101449275362319,0.5575916230366491,0.8037735849056604,0.42685370741482964,0.6278001028234479,"[[139  52]
 [286 213]]",0
p8,0.799079754601227,0.8318356867779204,0.7570093457943925,0.9230769230769231,0.9070430000662559,"[[197 104]
 [ 27 324]]",0
p9,0.49390243902439024,0.5776081424936388,0.5790816326530612,0.5761421319796954,0.5398825899949626,"[[ 97 165]
 [167 227]]",0
p10,0.7376788553259142,0.7130434782608696,0.5616438356164384,0.9761904761904762,0.9401068303216275,"[[259 160]
 [  5 205]]",0
p11,0.656298600311042,0.7445086705202312,0.9969040247678018,0.5940959409594095,0.8826129845456869,"[[100   1]
 [220 322]]",0
p12,0.6222910216718266,0.4916666666666667,0.36419753086419754,0.7564102564102564,0.7217425431711145,"[[284 206]
 [ 38 118]]",0
p13,0.6977225672877847,0.6893617021276596,0.525974025974026,1.0,0.9465212876427831,"[[175 146]
 [  0 162]]",0
p14,0.6587677725118484,0.6236933797909407,0.514367816091954,0.7920353982300885,0.7486790893870539,"[[238 169]
 [ 47 179]]",0
p15,0.6744186046511628,0.6749226006191951,0.5278450363196125,0.9356223175965666,0.8246281095045627,"[[217 195]
 [ 15 218]]",0
p16,0.8260869565217391,0.7142857142857143,0.6511627906976745,0.7909604519774012,0.8948934780241715,"[[392  75]
 [ 37 140]]",0
p17,0.620845921450151,0.6979542719614923,0.6430155210643016,0.7631578947368421,0.6781821575214633,"[[121 161]
 [ 90 290]]",0
p18,0.6394453004622496,0.11363636363636363,0.0625,0.625,0.6763333333333333,"[[400 225]
 [  9  15]]",0
p19,0.583076923076923,0.5203539823008849,0.588,0.4666666666666667,0.5475290215588723,"[[232 103]
 [168 147]]",0
p20,0.5855354659248957,0.5767045454545454,0.5413333333333333,0.6170212765957447,0.6143792377834931,"[[218 172]
 [126 203]]",0
p21,0.6637298091042585,0.7060333761232349,0.7412398921832885,0.6740196078431373,0.7005674064497593,"[[177  96]
 [133 275]]",0
p22,0.5160839160839161,0.27310924369747897,0.16455696202531644,0.8024691358024691,0.6188807103633601,"[[304 330]
 [ 16  65]]",0
p23,0.5170998632010944,0.5248990578734859,0.9154929577464789,0.36792452830188677,0.7006383178447386,"[[183  18]
 [335 195]]",0
p24,0.5587044534412956,0.5997552019583844,0.7585139318885449,0.4959514170040486,0.6278008162730089,"[[169  78]
 [249 245]]",0
p25,0.6179310344827587,0.5731895223420647,0.93,0.4142538975501114,0.7411800781123915,"[[262  14]
 [263 186]]",0
p26,0.6841359773371105,0.685472496473907,0.8293515358361775,0.5841346153846154,0.8071700928381963,"[[240  50]
 [173 243]]",0
p27,0.5256756756756756,0.5237449118046132,0.6868327402135231,0.4232456140350877,0.639099950580677,"[[196  88]
 [263 193]]",0
p29,0.2760898282694848,0.21937321937321935,0.9625,0.12379421221864952,0.5872692628319638,"[[132   3]
 [545  77]]",0
p31,0.7290322580645161,0.7214854111405836,0.84472049689441,0.6296296296296297,0.816866429111327,"[[293  50]
 [160 272]]",0
p1,0.3333333333333333,0.4922048997772829,1.0,0.32644017725258495,0.86579447140747,"[[  7   0]
 [456 221]]",1
p2,0.7115097159940209,0.8044579533941235,0.9254079254079254,0.7114695340501792,0.7753075656301464,"[[ 79  32]
 [161 397]]",1
p3,0.747557003257329,0.7626339969372129,0.819078947368421,0.7134670487106017,0.8091474293128615,"[[210  55]
 [100 249]]",1
p4,0.4538087520259319,0.5617685305591678,0.907563025210084,0.4067796610169492,0.660141023956554,"[[ 64  22]
 [315 216]]",1
p5,0.608214849921011,0.5709342560553633,0.4219948849104859,0.8823529411764706,0.845938946308242,"[[220 226]
 [ 22 165]]",1
