test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p1,0.5964912280701754,0.7453874538745388,0.9926289926289926,0.5967503692762186,0.6760920025321799,"[[  4   3]
 [273 404]]",0
p2,0.6278026905829597,0.7456588355464759,0.8669833729216152,0.6541218637992832,0.5954987245309826,"[[ 55  56]
 [193 365]]",0
p3,0.6009771986970684,0.6484935437589671,0.6494252873563219,0.6475644699140402,0.6395577661242364,"[[143 122]
 [123 226]]",0
p4,0.5656401944894651,0.6954545454545454,0.8767908309455588,0.576271186440678,0.5570336793237858,"[[ 43  43]
 [225 306]]",0
p5,0.4786729857819905,0.44630872483221473,0.3251833740831296,0.7112299465240641,0.5927855447111581,"[[170 276]
 [ 54 133]]",0
p6,0.6056338028169014,0.6648936170212767,0.6009615384615384,0.7440476190476191,0.6351367279585102,"[[137 166]
 [ 86 250]]",0
p7,0.6463768115942029,0.7489711934156378,0.7695560253699789,0.7294589178356713,0.6234983055115466,"[[ 82 109]
 [135 364]]",0
p8,0.5874233128834356,0.6237762237762239,0.6126373626373627,0.6353276353276354,0.6096582143093771,"[[160 141]
 [128 223]]",0
p9,0.5990853658536586,0.6571056062581487,0.675603217158177,0.6395939086294417,0.583979152943,"[[141 121]
 [142 252]]",0
p10,0.56120826709062,0.5504885993485342,0.4183168316831683,0.8047619047619048,0.6904136833731107,"[[184 235]
 [ 41 169]]",0
p11,0.5972006220839814,0.7156970362239297,0.8834688346883469,0.6014760147601476,0.6109385846333711,"[[ 58  43]
 [216 326]]",0
p12,0.48142414860681115,0.3807763401109057,0.2675324675324675,0.6602564102564102,0.6015502354788069,"[[208 282]
 [ 53 103]]",0
p13,0.5403726708074534,0.5316455696202531,0.40384615384615385,0.7777777777777778,0.6647436637052422,"[[135 186]
 [ 36 126]]",0
p14,0.5497630331753555,0.5111492281303602,0.4173669467787115,0.6592920353982301,0.5831303950772978,"[[199 208]
 [ 77 149]]",0
p15,0.5674418604651162,0.5550239234449761,0.4416243654822335,0.7467811158798283,0.6668767448643693,"[[192 220]
 [ 59 174]]",0
p16,0.5822981366459627,0.5046040515653776,0.3743169398907104,0.7740112994350282,0.6953386806034431,"[[238 229]
 [ 40 137]]",0
p17,0.5468277945619335,0.6277915632754343,0.5938967136150235,0.6657894736842105,0.545152108995894,"[[109 173]
 [127 253]]",0
