test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p2,0.7593423019431988,0.6897880539499035,0.683206106870229,0.6964980544747081,0.8414774659060859,"[[329  83]
 [ 78 179]]",0
p3,0.7980456026058632,0.8143712574850298,0.7176781002638523,0.9411764705882353,0.8673196699494277,"[[218 107]
 [ 17 272]]",0
p4,0.4651539708265802,0.27312775330396477,0.16358839050131926,0.8266666666666667,0.7601230012300123,"[[225 317]
 [ 13  62]]",0
p5,0.5039494470774092,0.5124223602484472,0.9939759036144579,0.34518828451882844,0.8751383452557702,"[[154   1]
 [313 165]]",0
p6,0.7276995305164319,0.7238095238095237,0.7102803738317757,0.7378640776699029,0.782141806413651,"[[237  93]
 [ 81 228]]",0
p7,0.5115942028985507,0.15113350125944583,0.08196721311475409,0.967741935483871,0.8443389299525185,"[[323 336]
 [  1  30]]",0
p8,0.7776073619631901,0.6437346437346437,0.7844311377245509,0.5458333333333333,0.8538430420711974,"[[376  36]
 [109 131]]",0
p9,0.663109756097561,0.3945205479452055,0.5413533834586466,0.3103448275862069,0.7090618900455433,"[[363  61]
 [160  72]]",0
p10,0.7297297297297297,0.7138047138047138,1.0,0.5549738219895288,0.9130296542806875,"[[247   0]
 [170 212]]",0
p11,0.7045101088646968,0.4025157232704403,0.2723404255319149,0.7710843373493976,0.806777108433735,"[[389 171]
 [ 19  64]]",0
p12,0.7476780185758514,0.7416798732171156,0.8731343283582089,0.6446280991735537,0.8178508502954375,"[[249  34]
 [129 234]]",0
p13,0.4451345755693582,0.3963963963963964,1.0,0.24719101123595505,0.8586216048836592,"[[127   0]
 [268  88]]",0
p14,0.8751974723538705,0.8429423459244533,0.7412587412587412,0.9769585253456221,0.9465615030131159,"[[342  74]
 [  5 212]]",0
p15,0.889922480620155,0.8711433756805808,0.8695652173913043,0.8727272727272727,0.9501621621621621,"[[334  36]
 [ 35 240]]",0
p16,0.8571428571428571,0.8289962825278812,0.9911111111111112,0.7124600638977636,0.94441280657896,"[[329   2]
 [ 90 223]]",0
p17,0.6419939577039275,0.42053789731051344,0.2986111111111111,0.7107438016528925,0.7163960220589359,"[[339 202]
 [ 35  86]]",0
p18,0.7395993836671803,0.7215815485996705,0.7041800643086816,0.7398648648648649,0.852614654314371,"[[261  92]
 [ 77 219]]",0
p19,0.76,0.6502242152466368,0.7397959183673469,0.58,0.83374,"[[349  51]
 [105 145]]",0
p20,0.5897079276773296,0.5680819912152268,0.7886178861788617,0.4439359267734554,0.658503335118555,"[[230  52]
 [243 194]]",0
p21,0.49926578560939794,0.6206896551724139,0.7643835616438356,0.5224719101123596,0.46599913373589136,"[[ 61  86]
 [255 279]]",0
p22,0.5986013986013986,0.6764374295377678,0.683371298405467,0.6696428571428571,0.608012306046014,"[[128 139]
 [148 300]]",0
p23,0.600547195622435,0.6846652267818575,0.7204545454545455,0.6522633744855967,0.5386579323087259,"[[122 123]
 [169 317]]",0
p24,0.7004048582995951,0.6636363636363637,0.5967302452316077,0.7474402730375427,0.7495429058995612,"[[300 148]
 [ 74 219]]",0
p25,0.646896551724138,0.6289855072463767,0.5130023640661938,0.8127340823970037,0.7436255990056098,"[[252 206]
 [ 50 217]]",0
p26,0.6345609065155807,0.6183431952662721,0.5251256281407035,0.7517985611510791,0.746688630404088,"[[239 189]
 [ 69 209]]",0
p27,0.6918918918918919,0.7142857142857143,0.6566820276497696,0.782967032967033,0.7587166822539164,"[[227 149]
 [ 79 285]]",0
p28,0.34958217270194986,0.5180598555211559,0.996031746031746,0.3500697350069735,0.2608089260808926,"[[  0   1]
 [466 251]]",0
p29,0.39762219286657857,0.5138592750533049,0.3843700159489633,0.77491961414791,0.3845399622222543,"[[ 60 386]
 [ 70 241]]",0
p30,0.5665294924554184,0.5311572700296735,0.5774193548387097,0.49175824175824173,0.5719403883787445,"[[234 131]
 [185 179]]",0
p31,0.4012903225806452,0.35014005602240894,0.22084805653710246,0.8445945945945946,0.5744644165696797,"[[186 441]
 [ 23 125]]",0
p2,0.71898355754858,0.6581818181818182,0.6177474402730375,0.7042801556420234,0.8072702202410186,"[[300 112]
 [ 76 181]]",1
p3,0.7882736156351792,0.8059701492537313,0.7086614173228346,0.9342560553633218,0.8727921213734362,"[[214 111]
 [ 19 270]]",1
p4,0.47811993517017826,0.2714932126696833,0.16348773841961853,0.8,0.7540713407134071,"[[235 307]
 [ 15  60]]",1
p5,0.4834123222748815,0.48341232227488146,0.9870967741935484,0.3200836820083682,0.8791199892023216,"[[153   2]
 [325 153]]",1
