test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p2,0.6352765321375187,0.5719298245614035,0.5207667731629393,0.6342412451361867,0.6949397453817385,"[[262 150]
 [ 94 163]]",0
p3,0.6286644951140065,0.6055363321799307,0.6055363321799307,0.6055363321799307,0.659590098482832,"[[211 114]
 [114 175]]",0
p4,0.47974068071312803,0.2913907284768212,0.1746031746031746,0.88,0.7046002460024601,"[[230 312]
 [  9  66]]",0
p5,0.6113744075829384,0.6728723404255319,0.9233576642335767,0.5292887029288703,0.7931299770549332,"[[134  21]
 [225 253]]",0
p6,0.6118935837245696,0.5866666666666666,0.6048109965635738,0.56957928802589,0.6685986074335588,"[[215 115]
 [133 176]]",0
p7,0.6420289855072464,0.17940199335548174,0.1,0.8709677419354839,0.8696460913407411,"[[416 243]
 [  4  27]]",0
p8,0.661042944785276,0.5989110707803993,0.5305466237942122,0.6875,0.7143810679611651,"[[266 146]
 [ 75 165]]",0
p9,0.7027439024390244,0.6060606060606061,0.5703422053231939,0.646551724137931,0.7707689492517893,"[[311 113]
 [ 82 150]]",0
p10,0.6263910969793323,0.6050420168067228,0.8450704225352113,0.4712041884816754,0.752930453398902,"[[214  33]
 [202 180]]",0
p11,0.6998444790046656,0.3911671924290221,0.26495726495726496,0.7469879518072289,0.7934165232358004,"[[388 172]
 [ 21  62]]",0
p12,0.6455108359133127,0.6239737274220033,0.7723577235772358,0.5234159779614325,0.7202445268619377,"[[227  56]
 [173 190]]",0
p13,0.5424430641821946,0.5641025641025641,0.9470198675496688,0.40168539325842695,0.7965363177917366,"[[119   8]
 [213 143]]",0
p14,0.7614533965244866,0.7208872458410351,0.6018518518518519,0.8986175115207373,0.8673785891527827,"[[287 129]
 [ 22 195]]",0
p15,0.6713178294573643,0.6602564102564104,0.5902578796561605,0.7490909090909091,0.7402063882063883,"[[227 143]
 [ 69 206]]",0
p16,0.6242236024844721,0.5739436619718309,0.6392156862745098,0.5207667731629393,0.6887831433452698,"[[239  92]
 [150 163]]",0
p17,0.6117824773413897,0.40919540229885054,0.28343949044585987,0.7355371900826446,0.6913276607445653,"[[316 225]
 [ 32  89]]",0
p18,0.613251155624037,0.5795644891122277,0.574750830564784,0.5844594594594594,0.6315509915014165,"[[225 128]
 [123 173]]",0
p19,0.6861538461538461,0.6236162361623616,0.5787671232876712,0.676,0.7411299999999998,"[[277 123]
 [ 81 169]]",0
p20,0.6383866481223922,0.6700507614213198,0.7521367521367521,0.6041189931350115,0.7257412727007158,"[[195  87]
 [173 264]]",0
p21,0.4111600587371512,0.5055487053020961,0.740072202166065,0.3838951310861423,0.4418201737623888,"[[ 75  72]
 [329 205]]",0
p22,0.6265734265734266,0.7244582043343653,0.6737044145873321,0.7834821428571429,0.5774394729802034,"[[ 97 170]
 [ 97 351]]",0
p23,0.48700410396716826,0.5519713261648745,0.6581196581196581,0.47530864197530864,0.5142857142857142,"[[125 120]
 [255 231]]",0
p24,0.5573549257759784,0.5273775216138328,0.456359102244389,0.6245733788395904,0.6022252864456363,"[[230 218]
 [110 183]]",0
p25,0.64,0.5364120781527532,0.5101351351351351,0.5655430711610487,0.6833652257821828,"[[313 145]
 [116 151]]",0
p26,0.6813031161473088,0.6243739565943238,0.5825545171339563,0.6726618705035972,0.7329304780474685,"[[294 134]
 [ 91 187]]",0
p27,0.5108108108108108,0.539440203562341,0.5023696682464455,0.5824175824175825,0.5329268470890811,"[[166 210]
 [152 212]]",0
p28,0.44846796657381616,0.6184971098265896,1.0,0.4476987447698745,0.9121338912133892,"[[  1   0]
 [396 321]]",0
p29,0.4808454425363276,0.5081351689612015,0.41598360655737704,0.6527331189710611,0.5388916124753075,"[[161 285]
 [108 203]]",0
p30,0.48559670781893005,0.5235069885641677,0.48699763593380613,0.5659340659340659,0.47574890862562097,"[[148 217]
 [158 206]]",0
